language,id,text,original,file,node,lineNumber,lock,comment
es,line:07ee50d,,A VISUAL NOVEL EXAMPLE,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,12,243448f9,
es,line:03a9f6d,,"Eve: Finally, a quiet day at the office. Maybe I'll be able to get some work done.",res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,17,498c5529,
es,line:07f4eac,,Adam: Hey Eve! I have a question!,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,26,459fb170,
es,line:0721506,,Eve: Oh no...,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,27,62b75da4,
es,line:0b52843,,Eve gets upset with Adam,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,33,8ace03d4,
es,line:09f21f4,,Eve: WHAT DO YOU WANT???,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,35,0e3efc57,
es,line:0b7be61,,Adam: I just wanted to see if you liked using YarnDonut.,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,36,1714374d,
es,line:01942dd,,Eve: ... It's fine. Thanks. Now leave me alone.,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,37,d9e33ebb,
es,line:0c481f8,,Adam asks Eve a question,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,38,8dc9fa94,
es,line:05eb26a,,Adam: Do you think YarnDonut is easy to use?,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,39,5bfcb4b2,
es,line:0e8ce79,,Eve: Not when you're bothering me.,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,40,37abe891,
es,line:0cb4316,,"Adam: Oh, I didn't realize you were busy. Sorry.",res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,41,0ed8f46b,
es,line:0794753,,"Eve: Ok, now to finally write that visual novel.",res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,48,3a4e6cf6,
es,line:0c39b43,,Eve: I can finally write my epic romance about -,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,51,75318ced,
es,line:04432b5,,Eve: Wait... where's my laptop? It's not here.,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,56,3a394f4f,
es,line:0a21105,,Eve: Adam! Have you seen my laptop???,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,58,8b7f1f59,
es,line:062467b,,Eve: ADDDDAAAMMMMMMM!!!,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,63,3c0876b7,
es,line:0d7e78e,,THE END.,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,67,f953533f,
