language,id,text,original,file,node,lineNumber,lock,comment
ja,line:07ee50d,ノベルゲームの例,A VISUAL NOVEL EXAMPLE,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,12,243448f9,
ja,line:03a9f6d,"イブ: ようやく、オフィスで静かな一日が過ごせました。もしかしたら何か仕事ができるようになるかも知れません。","Eve: Finally, a quiet day at the office. Maybe I'll be able to get some work done.",res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,17,498c5529,
ja,line:07f4eac,"アダム：やあ、イブ！",Adam: Hey Eve! I have a question!,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,26,459fb170,
ja,line:0721506,なんてこった...,Eve: Oh no...,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,27,62b75da4,
ja,line:0b52843,イブはアダムに腹を立てます,Eve gets upset with Adam,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,33,8ace03d4,
ja,line:09f21f4,,Eve: WHAT DO YOU WANT???,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,35,0e3efc57,
ja,line:0b7be61,,Adam: I just wanted to see if you liked using Yarn Spinner.,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,36,0274533b,
ja,line:01942dd,,Eve: ... It's fine. Thanks. Now leave me alone.,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,37,d9e33ebb,
ja,line:0c481f8,,Adam asks Eve a question,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,38,8dc9fa94,
ja,line:05eb26a,,Adam: Do you think Yarn Spinner is easy to use?,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,39,4fcb846b,
ja,line:0e8ce79,,Eve: Not when you're bothering me.,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,40,37abe891,
ja,line:0cb4316,,"Adam: Oh, I didn't realize you were busy. Sorry.",res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,41,0ed8f46b,
ja,line:0794753,,"Eve: Ok, now to finally write that visual novel.",res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,48,3a4e6cf6,
ja,line:0c39b43,,Eve: I can finally write my epic romance about -,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,51,75318ced,
ja,line:04432b5,,Eve: Wait... where's my laptop? It's not here.,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,56,3a394f4f,
ja,line:0a21105,,Eve: Adam! Have you seen my laptop???,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,58,8b7f1f59,
ja,line:062467b,,Eve: ADDDDAAAMMMMMMM!!!,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,63,3c0876b7,
ja,line:0d7e78e,,THE END.,res://Samples/VisualNovel/Dialogue/VNExampleDialogue.yarn,Start,67,f953533f,
